Full,Intrested,
K07098,K07098,0
K01182,#N/A,K01182
K03695,K03695,0
K13941,#N/A,K13941
K07146,#N/A,K07146
K01448,K01448,0
K24950,#N/A,K24950
K03625,#N/A,K03625
K02014,K02014,0
K01870,K01870,0
K11202,#N/A,K11202
K06445,K06445,0
K15125,K15125,0
K03531,K03531,0
K15923,K15923,0
K24180,#N/A,K24180
K13598,#N/A,K13598
K06147,K06147,0
K00688,K00688,0
K02888,#N/A,K02888
K01872,K01872,0
K19294,#N/A,K19294
K00648,#N/A,K00648
K07636,#N/A,K07636
K07315,K07315,0
K03763,#N/A,K03763
K05515,#N/A,K05515
K00951,#N/A,K00951
K01434,#N/A,K01434
K04042,#N/A,K04042
K01585,#N/A,K01585
K03292,#N/A,K03292
K07637,#N/A,K07637
K07496,K07496,0
K01961,K01961,0
K17315,#N/A,K17315
K00817,#N/A,K00817
K07335,K07335,0
K09612,K09612,0
K04041,K04041,0
K01874,#N/A,K01874
K02836,K02836,0
K02355,K02355,0
K07636,#N/A,K07636
K03770,#N/A,K03770
K07082,#N/A,K07082
K01972,#N/A,K01972
K12524,#N/A,K12524
K02188,#N/A,K02188
K06894,#N/A,K06894
K05366,K05366,0
K02770,#N/A,K02770
K01002,#N/A,K01002
K00820,#N/A,K00820
K02810,#N/A,K02810
K05802,K05802,0
K00602,#N/A,K00602
K02482,#N/A,K02482
K26730,#N/A,K26730
K03723,K03723,0
K02406,#N/A,K02406
K15461,#N/A,K15461
K20480,#N/A,K20480
K02283,#N/A,K02283
K02342,#N/A,K02342
K02355,K02355,0
K18138,K18138,0
K01091,#N/A,K01091
K07497,K07497,0
K03735,#N/A,K03735
K03406,K03406,0
K04485,K04485,0
K07277,#N/A,K07277
K09800,K09800,0
K01895,K01895,0
K21573,K21573,0
K00773,#N/A,K00773
K03203,#N/A,K03203
K01130,#N/A,K01130
K01297,#N/A,K01297
K13629,#N/A,K13629
K13652,#N/A,K13652
K01925,K01925,0
K00673,K00673,0
K01929,#N/A,K01929
K11941,#N/A,K11941
K01881,K01881,0
K01139,K01139,0
K01187,#N/A,K01187
K01270,#N/A,K01270
K00971,K00971,0
K04079,#N/A,K04079
K15532,#N/A,K15532
K01187,#N/A,K01187
K16692,#N/A,K16692
K19231,#N/A,K19231
K02433,#N/A,K02433
K03686,K03686,0
