id,EC,type
K00836,2.6.1.76,enzyme
K05973,3.1.1.75,enzyme
K01469,3.5.2.9,enzyme
K01223,3.2.1.86,enzyme
K01937,6.3.4.2,enzyme
K01885,6.1.1.17,enzyme
K00330,7.1.1.2,enzyme
K00276,1.4.3.21,enzyme
K01470,3.5.2.10,enzyme
K22994,4.2.2.9,enzyme
K01963,2.1.3.15;6.4.1.2,enzyme
K03644,2.8.1.8,enzyme
K00819,2.6.1.13,enzyme
K00852,2.7.1.15,enzyme
K01631,4.1.2.21,enzyme
K00029,1.1.1.40,enzyme
K01914,6.3.1.1,enzyme
K00324,7.1.1.1,enzyme
K01778,5.1.1.7,enzyme
K01749,2.5.1.61,enzyme
K03743,3.5.1.42,enzyme
K02788,2.7.1.207,enzyme
K00176,1.2.7.3,enzyme
K00340,7.1.1.2,enzyme
K03273,3.1.3.82;3.1.3.83,enzyme
K00948,2.7.6.1,enzyme
K00919,2.7.1.148,enzyme
K03147,4.1.99.17,enzyme
K14170,4.2.1.51;5.4.99.5,enzyme
K12111,3.2.1.23,enzyme
K00954,2.7.7.3,enzyme
K01114,3.1.4.3,enzyme
K01736,4.2.3.5,enzyme
K01251,3.13.2.1,enzyme
K00390,1.8.4.10;1.8.4.8,enzyme
K00124,,enzyme
K15371,1.4.1.2,enzyme
K01051,3.1.1.11,enzyme
K07029,2.7.1.107,enzyme
K00380,1.8.1.2,enzyme
K03525,2.7.1.33,enzyme
K19068,1.1.1.367,enzyme
K13921,,enzyme
K08351,,enzyme
K00692,2.4.1.10,enzyme
K01719,4.2.1.75,enzyme
K03153,1.4.3.19,enzyme
K01486,3.5.4.2,enzyme
K05364,,enzyme
K03367,6.1.1.13,enzyme
K00208,1.3.1.10;1.3.1.9,enzyme
K03182,4.1.1.98,enzyme
K05602,3.1.3.15,enzyme
K00206,,enzyme
K01696,4.2.1.20,enzyme
K01241,3.2.2.4,enzyme
K00997,2.7.8.7,enzyme
K26065,,enzyme
K18704,2.7.8.14;2.7.8.47,enzyme
K00791,2.5.1.75,enzyme
K00371,1.7.5.1,enzyme
K00766,2.4.2.18,enzyme
K01621,4.1.2.22;4.1.2.9,enzyme
K00821,2.6.1.11;2.6.1.17,enzyme
K03760,2.7.8.43,enzyme
K00549,2.1.1.14,enzyme
K03278,2.4.1.44,enzyme
K02549,4.2.1.113,enzyme
K00939,2.7.4.3,enzyme
K00285,1.4.5.1,enzyme
K06215,4.3.3.6,enzyme
K11216,2.7.1.189,enzyme
K03077,5.1.3.4,enzyme
K23374,6.3.2.55,enzyme
K00681,2.3.2.2;3.4.19.13,enzyme
K00656,2.3.1.54,enzyme
K02750,2.7.1.208,enzyme
K16370,2.7.1.11,enzyme
K02800,2.7.1.197,enzyme
K00981,2.7.7.41,enzyme
K00616,2.2.1.2,enzyme
K01455,3.5.1.49,enzyme
K09759,6.1.1.23,enzyme
K17723,1.3.1.1,enzyme
K01714,4.3.3.7,enzyme
K00108,1.1.99.1,enzyme
K00133,1.2.1.11,enzyme
K22622,1.8.2.6,enzyme
K00611,2.1.3.3,enzyme
K00331,7.1.1.2,enzyme
K05774,2.7.4.23,enzyme
K01186,3.2.1.18,enzyme
K08680,4.2.99.20,enzyme
K01735,4.2.3.4,enzyme
K02232,6.3.5.10,enzyme
K01945,6.3.4.13,enzyme
K13657,2.4.1.252,enzyme
K00114,1.1.2.8,enzyme
K01712,4.2.1.49,enzyme
