KO,EC,RXN
K20276,,
K01728,4.2.2.2,R02361;R06240
K02355,,
K01284,3.4.15.5,
K15477,,
K01507,3.6.1.1,
K01246,3.2.2.20,
K03404,6.6.1.1,R03877
K00031,1.1.1.42,R00267;R00268;R01899
K03655,5.6.2.4,
K02860,,
K22444,1.14.13.239,
K02335,2.7.7.7,
K21573,,
K02337,2.7.7.7,
K07034,,
K15125,,
K09800,,
K01423,,
K00138,,R00711
K03640,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K08303,,
K07462,,
K00962,2.7.7.8,
K21572,,
K02945,,
K02931,,
K01226,3.2.1.93,R00837;R06113
K01928,6.3.2.13,R02788
K03526,1.17.7.1;1.17.7.3,R08689;R10859
K07677,2.7.13.3,
K03587,3.4.16.4,
K01439,3.5.1.18,R02734
K03546,,
K03695,,
K04077,5.6.1.7,
K02519,,
K02335,2.7.7.7,
K03325,,
K00820,2.6.1.16,R00768
K07273,,
K00297,1.5.1.54,R07168
K00335,7.1.1.2,R11945
K16211,,
K24180,,
K03406,,
K01912,6.2.1.30,R02539
K02470,5.6.2.2,
K01372,3.4.22.40,
K07444,,
K02238,,
K07636,2.7.13.3,
K00620,2.3.1.1;2.3.1.35,R00259;R02282
K11720,,
K00859,2.7.1.24,R00130
K03799,,
K00688,2.4.1.1,R02111
K01881,6.1.1.15,R03661
K03427,2.1.1.72,
K01928,6.3.2.13,R02788
K07403,,
K03606,2.7.8.31,
K07180,,
K21573,,
K26735,,
K15635,5.4.2.12,R01518
K07497,,
K01338,3.4.21.53,
K02855,,
K02109,,
K06151,1.1.99.3,R01741
K07263,,
K05540,,
K00278,1.4.3.16,R00357;R00481
K16092,,
K07273,,
K03770,5.2.1.8,
K02014,,
K03701,,
K03517,2.5.1.72,R04292
K02026,,
K07095,,
K00259,1.4.1.1,R00396
K27956,,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K02406,,
K03744,,
K03799,,
K01337,3.4.21.50,
K01740,2.5.1.49,R00651;R01287;R02026;R04859
K03555,,
K03701,,
K22104,,
K18707,2.8.4.5,R10649
K01256,3.4.11.2,R00899;R04951
K27054,,
K02377,1.1.1.271,R05692
K01875,6.1.1.11,R03662;R08218
K02469,5.6.2.2,
K12340,,
K01883,6.1.1.16,R03650
K03457,,
K03427,2.1.1.72,
K07085,,
K03427,2.1.1.72,
K01026,2.8.3.1,R00928;R01449;R05508
K01804,5.3.1.4,R01761;R12991;R13545
K00265,1.4.1.13,R00114;R00248
K06413,,
K03046,2.7.7.6,
K00240,1.3.5.1,R02164
K02172,,
K03571,,
K03046,2.7.7.6,
K21573,,
K07126,,
K10924,,
K03546,,
K18122,,R05336
K00567,2.1.1.63,
K01246,3.2.2.20,
K13953,1.1.1.1,R00623;R00754;R02124;R04880;R05233;R05234;R06917;R06927;R07105;R08281;R08306;R08310
K03641,,
K20866,3.1.3.10,R00947
K06200,,
K21573,,
K03043,2.7.7.6,
K06013,3.4.24.84,R09845
K04775,,
K00700,2.4.1.18,R02110
K06076,,
K18138,,
K03547,,
K07484,,
K03701,,
K03587,3.4.16.4,
K22135,,
K01940,6.3.4.5,R01954
K07354,,
K01870,6.1.1.5,R03656
K03529,,
K18294,,
K02483,,
K12065,,
K02073,,
K06894,,
K00219,1.3.1.34,
K02791,2.7.1.199;2.7.1.208,R02738;R04111
K03307,,
K03300,,
K01091,3.1.3.18,R01334
K01740,2.5.1.49,R00651;R01287;R02026;R04859
K03286,,
K01277,3.4.14.4,
K21573,,
K03701,,
K21573,,
K03787,3.1.3.5;3.1.3.6,R00183;R00511;R00963;R01126;R01227;R01562;R01569;R01664;R01877;R01968;R02088;R02102;R02148;R02323;R02370;R02719;R03346;R12958
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K17686,7.2.2.8,
K03667,,
K08483,2.7.3.9,
K04771,3.4.21.107,
K03529,,
K02433,6.3.5.6;6.3.5.7,R03905;R04212
K21573,,
K00800,2.5.1.19,R03460
K03230,,
K01364,3.4.22.10,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K02445,,
K24018,1.3.1.12;1.3.1.43;2.5.1.19,R00732;R01728;R03460
K07665,,
K03798,,
K17468,4.3.1.29,R10408
K03168,5.6.2.1,
K00790,2.5.1.7,R00660
K13444,1.8.3.7,
K02005,,
K01649,2.3.3.13,R01213
K03230,,
K02996,,
K06969,2.1.1.191,
K02519,,
K00162,1.2.4.1,R00014;R00209;R01699;R03270
K11021,,
K00134,1.2.1.12,R01061
K03615,7.1.1.11;7.2.1.2,
K06438,,
K20527,7.4.2.8,
K02421,,
K00703,2.4.1.21,R02421
K02440,,
K00031,1.1.1.42,R00267;R00268;R01899
K07133,,
K05939,2.3.1.40;6.2.1.20,R01406;R04864
K17938,,
K01139,2.7.6.5;3.1.7.2,R00336;R00429
K07646,2.7.13.3,
K01247,3.2.2.21,
K07638,2.7.13.3,
K04043,,
K18109,4.2.3.90,R09890
K18954,,
K00548,2.1.1.13,R00946;R09365
K01874,6.1.1.10,R03659;R04773
K09023,,R09983
K19170,,
K00012,1.1.1.22,R00286
K02529,,
K01176,3.2.1.1,R02108;R02112;R11262
K00219,1.3.1.34,
K00604,2.1.2.9,R03940
K10036/K10037,,
K03340,1.4.1.16,R02755
K02027,,
K12132,2.7.11.1,
K07729,,
K00876,2.7.1.48,R00513;R00517;R00964;R00968;R08232
K03630,,
K06919,,
K00265,1.4.1.13,R00114;R00248
K02879,,
K00845,2.7.1.2,R00299;R01600;R01786
K00343,7.1.1.2,R11945
K00761,2.4.2.9,R00966
K00126,1.17.1.9,R00519
K12132,2.7.11.1,
K03436,,
K04057,,
K12963,,
K20741,3.4.22.50,
K02315,,
K13378,7.1.1.2,R11945
K03761,,
K12687,,
K02470,5.6.2.2,
K02469,5.6.2.2,
K02855,,
K03406,,
K07486,,
K19272,2.7.1.95,
K23271,,
K01151,3.1.21.2,
K03580,,
K07462,,
K03807,,
K03625,,
K11527,2.7.13.3,
K07091,,
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K02404,,
K16092,,
K03694,,
K11891,,
K11892,,
K02005,,
K03475,,R07671
K13038,4.1.1.36;6.3.2.5,R03269;R04231
K11904,,
K04771,3.4.21.107,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K07678,2.7.13.3,
K01784,5.1.3.2,R00291;R02984
K05515,3.4.16.4,
K19586,,
K03225,,
K03701,,
K02200,,
K02334,2.7.7.7,
K07462,,
K01972,6.5.1.2,R00382
K23186,,
K03771,5.2.1.8,
K03701,,
K07192,,
K01872,6.1.1.7,R03038
K00927,2.7.2.3,R01512
K07126,,
K07126,,
K03979,,
K03169,5.6.2.1,
K03529,,
K03656,5.6.2.4,
K01997,,
K13688,2.4.1.397,
K01958,6.4.1.1,R00344
K00767,2.4.2.19,R03348
K06293,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K02470,5.6.2.2,
K03286,,
K00639,2.3.1.29,R00371
K10536,3.5.3.12,R01416
K16211,,
K01191,3.2.1.24,
K03337,5.3.1.30,R08503
K05808,,
K16899,5.6.2.4,
K15540,,
K01493,3.5.4.12,R01663
K00179,1.2.7.8,
K02836,,
K02047,,
K02045,7.3.2.3,
K07258,3.4.16.4,
K02054,,
