KO,EC,RXN
K01835,5.4.2.2,R00959;R01057;R08639
K07030,2.7.2.18,
K01181,3.2.1.8,
K01870,6.1.1.5,R03656
K06926,,
K20276,,
K03797,3.4.21.102,
K03763,2.7.7.7,
K00040,1.1.1.57,R02454
K04691,,
K06921,,
K22820,,R13468
K03340,1.4.1.16,R02755
K12373,3.2.1.52,R00022;R03492;R04184;R04586;R05963;R06001;R06004;R07809;R07810;R11316;R12963
K02335,2.7.7.7,
K23508,,
K01995,,
K02621,5.6.2.2,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K04516,5.4.99.5,R01715
K21029,2.7.7.80,R07459
K10094,,
K02864,,
K00688,2.4.1.1,R02111
K00245,1.3.5.1,R02164
K16092,,
K02016,,
K00823,2.6.1.19,R00908;R01648
K01201,3.2.1.45,R01498;R13178
K07443,,
K01630,4.1.2.20,R02754;R03277
K15923,3.2.1.51,
K21573,,
K21572,,
K22443,1.14.13.239,
K03547,,
K02551,2.2.1.9,R08165
K17204,,
K06997,,
K03814,2.4.99.28,
K03686,,
K10742,5.6.2.3,
K26939,,
K11392,2.1.1.178,
K01153,3.1.21.3,
K02014,,
K19694,,
K03657,5.6.2.4,
K10844,5.6.2.3,
K03596,,
K04084,1.8.4.16,
K02230,6.6.1.2,R05227
K23163,,
K03438,2.1.1.199,
K09118,,
K21572,,
K01881,6.1.1.15,R03661
K03665,,
K04042,2.3.1.157;2.7.7.23,R00416;R05332
K07263,,
K07386,,
K16089,,
K03596,,
K22452,2.3.2.13,
K01699,4.2.1.28,R02376
K00031,1.1.1.42,R00267;R00268;R01899
K02356,,
K04763,,
K09952,,
K06183,5.4.99.19,
K05343,3.2.1.1;5.4.99.16,R01557;R02108;R02112;R11262
K14743,,
K07386,,
K00973,2.7.7.24,R02328
K03696,,
K19775,,
K12092,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K07673,2.7.13.3,
K03078,4.1.1.85,R07125
K03497,,
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K13542,2.1.1.107;4.2.1.75,R03165;R03194
K12342,,
K03043,2.7.7.6,
K17722,1.3.1.1,R00977;R01414;R11026
K01915,6.3.1.2,R00253
K03733,,
K01619,4.1.2.4,R01066
K02407,,
K00074,1.1.1.157,R01976;R05576;R06941
K01126,3.1.4.46,R01030;R01470
K03526,1.17.7.1;1.17.7.3,R08689;R10859
K07486,,
K11910,,
K00147,1.2.1.41,R03313
K15635,5.4.2.12,R01518
K03779,4.2.1.32,R00339
K26937,,
K04763,,
K03328,,
K04780,6.2.1.66,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K00603,2.1.2.5;6.3.3.2,R02287;R02301;R03189
K00294,1.2.1.88,R00245;R00707;R00708;R04444;R04445;R05051;R13148
K03581,3.1.11.5,
K13038,4.1.1.36;6.3.2.5,R03269;R04231
K16087,,
K00647,2.3.1.41,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K03646,,
K00337,7.1.1.2,R11945
K01805,5.3.1.5,R00307;R00878;R01432;R12986
K15580,,
K03702,,
K25657,2.7.1.32,R01021
K00134,1.2.1.12,R01061
K01585,4.1.1.19,R00566
K01887,6.1.1.19,R03646
K03070,7.4.2.8,
K03427,2.1.1.72,
K24300,4.2.1.135,R10266
K19005,2.7.8.20,R05081;R10849;R12813;R12900;R12901
K11750,,
K02438,3.2.1.196,R02111
K07315,3.1.3.3,
K01428,3.5.1.5,R00131;R13420
K01758,4.4.1.1,R00782;R01001;R02408;R04770;R04930;R09366
K19237,3.4.22.47,
K03594,1.16.3.1,R00078
K03535,,
K18929,,
K03799,,
K05851,4.6.1.1,R00089;R00434
K03466,,
K03526,1.17.7.1;1.17.7.3,R08689;R10859
K03695,,
K06871,,
K02198,,
K07485,,
K14155,4.4.1.13,R00782;R01286;R02408;R04941;R12188
K00432,1.11.1.9,R00274
K03150,4.1.99.19,R10246
K02014,,
K07459,,
K03724,5.6.2.4;5.6.2.6,
K19265,,
K23997,4.2.1.136;5.1.99.6,
K03885,1.6.5.9,
K03657,5.6.2.4,
K00652,2.3.1.47,R03210;R10124
K07636,2.7.13.3,
K00116,1.1.5.4,R00360;R00361;R01257
K21936,2.1.1.342,R11700
K00684,2.3.2.6,R03813;R11443;R11444
K03771,5.2.1.8,
K06222,1.1.1.346,
K18303,,
K09607,,
K12573,3.1.13.1,
K02453,,
K00639,2.3.1.29,R00371
K26148,3.1.4.52,
K00450,1.13.11.4,R02656
K03501,2.1.1.170,
K27502,1.5.1.55,R13291
K19668,3.2.1.91,R02886;R11308
K03529,,
K12574,,
K00052,1.1.1.85,R00994;R04426;R10052
K07126,,
K07728,,
K00404,7.1.1.9,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K02014,,
K06941,2.1.1.192,
K06888,,
K03977,,
K17202,,
K03466,,
K04095,2.7.7.108,
K03546,,
K19237,3.4.22.47,
K07712,,
K11211,2.7.1.166,R09767
K05928,2.1.1.95,R07236;R07504;R10491;R10492
K03545,,
K10855,6.4.1.6,R05735
K01338,3.4.21.53,
K03531,,
K00661,2.3.1.79,
K13014,,R07662
K01912,6.2.1.30,R02539
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K07641,2.7.13.3,
K01582,4.1.1.18,R00462
K12257,,
K00335,7.1.1.2,R11945
K03575,3.2.2.31,
K03594,1.16.3.1,R00078
K01811,3.2.1.177,
K05366,2.4.99.28;3.4.16.4,
K04066,5.6.2.4,
K03070,7.4.2.8,
K00925,2.7.2.1,R00315;R01353
K01200,3.2.1.41,R02111
K05343,3.2.1.1;5.4.99.16,R01557;R02108;R02112;R11262
K01897,6.2.1.3,R00390;R01280
K07001,,
K01390,3.4.24.13,
K21449,,
K03070,7.4.2.8,
K19220,,
K03797,3.4.21.102,
K13888,,
K04079,,
K00817,2.6.1.9,R00694;R00734;R03243
K10439,,
K17686,7.2.2.8,
K01537,7.2.2.10,
K03581,3.1.11.5,
K02394,,
K04765,3.6.1.9,R00087;R00103;R00287;R00426;R00515;R00662;R03004;R03036;R11323
K03555,,
K03634,,
K03046,2.7.7.6,
K01890,6.1.1.20,R03660
K24163,,
K01869,6.1.1.4,R03657
K02495,1.3.98.3,R06895
K05825,,R00369;R00372;R01939
K18118,2.8.3.18,R10343
K15532,3.2.1.172,
K00639,2.3.1.29,R00371
K01195,3.2.1.31,R01478;R04979;R07818;R08127;R08260;R10830
K00763,6.3.4.21,R01724
K21136,,
K06131,,R07390
K03406,,
K03088,,
K00339,7.1.1.2,R11945
K26945,,
K00033,1.1.1.343;1.1.1.44,R01528;R10221
K01695,4.2.1.20,R00674;R02340;R02722
K01883,6.1.1.16,R03650
K05798,,
K03650,,R08701
K03671,,
K02838,,
K21573,,
K01810,5.3.1.9,R00771;R02739;R02740;R03321;R13199
K07263,,
K05515,3.4.16.4,
K01207,3.2.1.52,R00022;R10831
K03580,,
K21467,,
K03656,5.6.2.4,
K09002,,
K00705,2.4.1.25,R02111;R05196
K00265,1.4.1.13,R00114;R00248
K00986,2.7.7.49,
K03581,3.1.11.5,
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R00215;R01751;R02545;R06180
K01364,3.4.22.10,
K16152,,
K01438,3.5.1.16,R00669;R09107
K07315,3.1.3.3,
K02316,2.7.7.101,
K03546,,
K15372,2.6.1.55,R00908;R01684
K03575,3.2.2.31,
K09955,,
K03628,,
K00174,1.2.7.11;1.2.7.3,R01196;R01197
K01364,3.4.22.10,
K07486,,
K00116,1.1.5.4,R00360;R00361;R01257
K07025,,
K00425,7.1.1.7,R11325
K02274,7.1.1.9,
K07484,,
K03607,,
K01886,6.1.1.18,R03652
K00793,2.5.1.9,R00066
K00075,1.3.1.98,R03191;R03192
K01163,,
K02529,,
K00645,2.3.1.39,R01626;R11671
K00281,1.4.4.2,R01221;R03425
K03546,,
K03546,,
K01113,3.1.3.1,R04620
K21572,,
K02014,,
K01118,1.7.1.17,
K00609,2.1.3.2,R01397
K01854,5.4.99.9,R00505;R09009
K10254,4.2.1.53,
K00673,2.3.1.109,R00832
K14155,4.4.1.13,R00782;R01286;R02408;R04941;R12188
K01277,3.4.14.4,
K02591,1.18.6.1,R05185;R05496
K03590,,
K20035,1.3.99.41,R11130
K00558,2.1.1.37,R04858
K05367,2.4.99.28,
K06958,,
K23827,,
K03469,3.1.26.4,
K01728,4.2.2.2,R02361;R06240
K08676,,
K00548,2.1.1.13,R00946;R09365
K07259,3.4.16.4,
K00433,1.11.1.10,
K00027,1.1.1.38,R00214
K03555,,
K03572,,
K00992,2.7.7.99,R11025
K01414,3.4.24.70,
K00334,7.1.1.2,R11945
K01889,6.1.1.20,R03660
K08289,6.3.1.21,R06974
K02528,2.1.1.182,R10716
K03215,2.1.1.190,
K04691,,
K21471,,
K02316,2.7.7.101,
K03655,5.6.2.4,
K01207,3.2.1.52,R00022;R10831
K02600,,
K02519,,
K09978,,
K25314,2.7.1.52;2.7.7.30,R01951;R03161
K09952,,
K02313,,
K23991,2.7.3.9,
K05878,2.7.1.121,R01012
K08306,4.2.2.29,
K03608,,
K13581,2.1.1.72,
K07451,,
K03694,,
K03702,,
K00639,2.3.1.29,R00371
K16898,5.6.2.4,
K10544,,
K15555,7.6.2.14,
K07676,2.7.13.3,
K01953,6.3.5.4,R00578
K21573,,
K03544,,
K06381,4.2.2.29,
K19294,,
K06178,5.4.99.22,
K09923,,
K13745,4.1.1.86,R07650
K18138,,
K15255,5.6.2.3,
K03070,7.4.2.8,
K14583,1.13.11.56,R04117
K01154,3.1.21.3,
K04079,,
K01428,3.5.1.5,R00131;R13420
K00164,1.2.4.2,R00621;R01700;R03316;R08549
K01153,3.1.21.3,
K09955,,
K21573,,
K08602,,
K06889,,
K13890,,
K00383,1.8.1.7,R00094;R00115
K03631,,
K16692,2.7.10.3,
K02390,,
K01586,4.1.1.20,R00451
K05815,,
K06207,,
K06877,,
K06281,1.12.99.6,R08034
K03529,,
K02014,,
K03307,,
K02274,7.1.1.9,
K03466,,
K25307,3.1.3.48,
K15125,,
K01886,6.1.1.18,R03652
K03776,,
K07568,2.4.99.17,R10220
K01876,6.1.1.12,R05577
K09793,,
K02904,,
K02907,,
K07396,,
K03773,5.2.1.8,
K03773,5.2.1.8,
K08217,,
K04091,1.14.14.34;1.14.14.5,R07210;R10206
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K03324,,
K02398,,
K21966,,
K01711,4.2.1.47,R00888
K22186,4.2.1.82,R02429
K07147,,
K12573,3.1.13.1,
K03723,5.6.2.4,
K01847,5.4.99.2,R00833
K01868,6.1.1.3,R03663
K03529,,
K07305,1.8.4.12,
K07315,3.1.3.3,
K01130,3.1.6.1,R04856
K07004,,
K20276,,
K02113,,
K08384,,
K01925,6.3.2.9,R02783
K03588,2.4.99.28,
K07496,,
K02970,,
K07177,,
K02361,5.4.4.2,R01717
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K01893,6.1.1.22,R03648
K21573,,
K16165,3.7.1.20,R01085
K04043,,
K03703,,
K04763,,
K08369,,
K02029,,
K01662,2.2.1.7,R05636
K06969,2.1.1.191,
K07175,,
K03042,2.7.7.6,
K07636,2.7.13.3,
K11392,2.1.1.178,
K00147,1.2.1.41,R03313
K05589,,
K00703,2.4.1.21,R02421
K01278,3.4.14.5,
K12132,2.7.11.1,
K03177,5.4.99.25,
K00721,2.4.1.83,R01009
K03723,5.6.2.4,
K01939,6.3.4.4,R01135
K00627,2.3.1.12,R00209;R02569
K02523,2.5.1.90,R09248
K06956,,
K06916,,
K01185,3.2.1.17,
K09955,,
K00571,2.1.1.72,
K07126,,
K00355,1.6.5.2,R02964;R03643;R03816
K07259,3.4.16.4,
K01698,4.2.1.24,R00036
K07001,,
K03786,4.2.1.10,R03084
K00657,2.3.1.57,R01154
K15551,,
K04759,,
K02853,2.4.99.27,
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K03585,,
K07485,,
K10680,,R08014;R08017;R08042
K21573,,
K02404,,
K07482,,
K03498,,
K06158,,
K05540,,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K00262,1.4.1.4,R00248
K03800,6.3.1.20,R07770;R07771;R11143;R12429;R12433;R12434;R12449
K03406,,
K01460,3.5.1.78;6.3.1.8,R01917;R01918
K01000,2.7.8.13,R05629;R05630
K11929,,
K07638,2.7.13.3,
K00762,2.4.2.10,R01870
K00942,2.7.4.8,R00332;R02090;R12852
K03060,2.7.7.6,
K00865,2.7.1.165,R08572
K01524,3.6.1.11;3.6.1.40,R03409
K03671,,
K07133,,
K14682,2.3.1.1,R00259
K07685,,
K06889,,
K03577,,
K03585,,
K03582,3.1.11.5,
K07133,,
K03929,,
K09013,,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K01537,7.2.2.10,
K18220,,
K03307,,
K01595,4.1.1.31,R00345
K06915,,
K22719,,
K07217,1.11.1.6,
K01869,6.1.1.4,R03657
K04487,2.8.1.7,R07460;R11528;R11529
K13819,,
K03719,,
K03529,,
K05591,5.6.2.6,
K11746,,
K00631,2.3.1.15,R00851;R09380
K09812,,
K18929,,
K00782,,
K15974,,
K00574,2.1.1.79,
K01448,3.5.1.28,R04112
K01364,3.4.22.10,
K21573,,
K13730,,
K07315,3.1.3.3,
K01923,6.3.2.6,R04591
K03183,2.1.1.163;2.1.1.201,R09736;R09737
K01278,3.4.14.5,
K00632,2.3.1.16,R00238;R00829;R00927;R01177;R03778;R03858;R03991;R04546;R04742;R04747;R05506;R05586;R07891;R07895;R07899;R08091;R08095;R13467;R13471;R13479;R13483
K01887,6.1.1.19,R03646
K21024,3.1.4.52,
K01676,4.2.1.2,R01082
K00558,2.1.1.37,R04858
K07639,2.7.13.3,
K18962,6.5.1.3,
K06894,,
K03544,,
K00963,2.7.7.9,R00289
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K10854,6.4.1.6,R05735
K03695,,
K06973,,
K16868,2.1.1.265,
K01421,,
K02890,,
K01755,4.3.2.1,R01086
K18120,1.1.1.61,R01644
K21470,,
K07240,,
K17686,7.2.2.8,
K02314,5.6.2.3,
K26148,3.1.4.52,
K10939,,
K07315,3.1.3.3,
K00798,2.5.1.17,R01492;R05220;R07268;R12184
K00658,2.3.1.61,R01933;R02570;R02571;R08549
K06994,,
K03654,5.6.2.4,
K04771,3.4.21.107,
K02035,,
K03427,2.1.1.72,
K01153,3.1.21.3,
K00215,1.17.1.8,R04198;R04199
K03655,5.6.2.4,
K02030,,
K15726,,
K14107,,
K00075,1.3.1.98,R03191;R03192
K02804,2.7.1.193,R05199
K02483,,
K01443,3.5.1.25,R02059
K01915,6.3.1.2,R00253
K07485,,
K02806,,
K16012,,
K21449,,
K03046,2.7.7.6,
K02014,,
K11927,5.6.2.7,
K00958,2.7.7.4,R00529;R04929
K02040,,
K23181,,
K26976,,
K01897,6.2.1.3,R00390;R01280
K05366,2.4.99.28;3.4.16.4,
K03284,,
K06872,,
K07491,,
K06915,,
K03701,,
K06990,,
K04069,1.97.1.4,R04710
K06867,,
K06178,5.4.99.22,
K00040,1.1.1.57,R02454
K06959,,
K00937,2.7.4.1,
K02988,,
K01873,6.1.1.9,R03665
K03686,,
K06158,,
K00963,2.7.7.9,R00289
K00700,2.4.1.18,R02110
K03832,,
K03686,,
K25026,2.7.1.2,R00299;R01600;R01786
K10906,,
K27802,4.2.1.3;4.2.1.99,R01324;R01325;R01900;R04425
K06192,,
K00322,1.6.1.1,R00112
K15580,,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K21741,,
K12072,,
K12057,,
K07126,,
K21903,,
K01534,7.2.2.12;7.2.2.21,
K07126,,
K13896,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K15923,3.2.1.51,
K19668,3.2.1.91,R02886;R11308
K00053,1.1.1.86,R03051;R04439;R04440;R05068;R05069;R05071
K10003,,
K00163,1.2.4.1,R00014;R00209;R01699;R03270
K11928,,
K08156,,
K07133,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K00281,1.4.4.2,R01221;R03425
K07126,,
K02838,,
K00991,2.7.7.60,R05633
K06894,,
K03296,,
K05970,3.1.1.53,
K07465,,
K07568,2.4.99.17,R10220
K06178,5.4.99.22,
K07482,,
K03403,6.6.1.1,R03877
K03763,2.7.7.7,
K06994,,
K03498,,
K01364,3.4.22.10,
K01364,3.4.22.10,
K06889,,
K01810,5.3.1.9,R00771;R02739;R02740;R03321;R13199
K12960,3.5.4.28;3.5.4.31,R00193;R09660
K04086,,
K03702,,
K03100,3.4.21.89,
K06131,,R07390
K07284,3.4.22.70,
K01876,6.1.1.12,R05577
K02004,,
K12472,,
K01873,6.1.1.9,R03665
K07386,,
K01154,3.1.21.3,
K01813,5.3.1.14,R02437
K02456,,
K01581,4.1.1.17,R00670
K18336,3.7.1.26,R10691
K02945,,
K11935,,
K03529,,
K02860,,
K01870,6.1.1.5,R03656
K01191,3.2.1.24,
K01425,3.5.1.2,R00256;R01579
K03328,,
K03701,,
K21573,,
K08300,3.1.26.12,
K00848,2.7.1.5,R01902;R03014
K03582,3.1.11.5,
K12092,,
K04063,1.11.1.28,
K08303,,
K06381,4.2.2.29,
K03546,,
K01966,2.1.3.15;6.4.1.3,R01859
K01886,6.1.1.18,R03652
K06207,,
K18220,,
K01895,6.2.1.1,R00235;R00236;R00316;R00925;R00926;R01354
K10939,,
K18138,,
K03590,,
K14445,,
K07636,2.7.13.3,
K03733,,
K04763,,
K03702,,
K26110,1.7.1.7,R01134
K10540,,
K07682,2.7.13.3,
K00392,1.8.7.1,R00859;R03600
K00262,1.4.1.4,R00248
K07335,,
K01146,,
K21011,,
K07689,,
K10228,,
K25010,3.1.1.117,
K03168,5.6.2.1,
K00135,1.2.1.16;1.2.1.20;1.2.1.79,R00713;R00714;R02401
K02052,,
K00088,1.1.1.205,R01130;R08240
K03466,,
K19611,,
K04773,,
K00117,1.1.5.2,R06620
K09797,,
K09882,6.6.1.2,R05227
K07636,2.7.13.3,
K04561,1.7.2.5,R00294
K01809,5.3.1.8,R00772;R01819
K01235,3.2.1.139,
K00856,2.7.1.20,R00185
K07133,,
K01364,3.4.22.10,
K00906,2.7.11.5,
K00262,1.4.1.4,R00248
K07038,,
K01236,3.2.1.141,R09995;R11256
K01897,6.2.1.3,R00390;R01280
K02456,,
K03046,2.7.7.6,
K00053,1.1.1.86,R03051;R04439;R04440;R05068;R05069;R05071
K12132,2.7.11.1,
K09810,,
K03306,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K02275,7.1.1.9,
K11072,7.6.2.11,
K07126,,
K07126,,
K16242,1.14.13.243;1.14.13.244,R03560;R03608;R10042;R10043
K01739,2.5.1.48,R00999;R01288;R02026;R02508;R03217;R03260;R04944;R04945;R04946
K07700,2.7.13.3,
K13634,,
K03043,2.7.7.6,
K02529,,
K01990,,
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K06400,,
K03723,5.6.2.4,
K07271,,R12821
K13735,,
K07486,,
K02342,2.7.7.7,
K07658,,
K16087,,
K03723,5.6.2.4,
K07484,,
K21449,,
K21967,,
K01999,,
K01119,3.1.3.6;3.1.4.16,R01562;R01877;R02148;R02370;R03537;R03538;R03929;R05135
K02824,,
K02316,2.7.7.101,
K01198,3.2.1.37,R01433
K00705,2.4.1.25,R02111;R05196
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K25706,2.3.1.234,
K01915,6.3.1.2,R00253
K16650,2.4.1.288,R12080
K02341,2.7.7.7,
K01992,,
K18220,,
K02558,6.3.2.45,
K07404,3.1.1.31,R02035
K16692,2.7.10.3,
K03431,5.4.2.10,R02060
K07263,,
K00163,1.2.4.1,R00014;R00209;R01699;R03270
K19226,,
K07486,,
K07473,,
K07114,,
K01996,,
K01890,6.1.1.20,R03660
K03723,5.6.2.4,
K02433,6.3.5.6;6.3.5.7,R03905;R04212
K03596,,
K07150,,
K22105,,
K04070,1.97.1.4,
K03111,,
K01992,,
K01591,4.1.1.23,R00965
K02002,,
K00975,2.7.7.27,R00948
K07005,,
K01755,4.3.2.1,R01086
K14415,6.5.1.8,
K16011,2.7.7.13;5.3.1.8,R00772;R00885;R01819
K00156,1.2.5.1,R03145
K03308,,
K08602,,
K01897,6.2.1.3,R00390;R01280
K01138,,
K02047,,
K16898,5.6.2.4,
K00349,7.2.1.1,
K07533,5.2.1.8,
K01950,6.3.5.1,R00257
K03286,,
K15784,3.5.1.125,R09801
K00325,7.1.1.1,R13176
K00014,1.1.1.25,R02413;R12885
K04041,3.1.3.11,R00762;R04780
K26937,,
K01609,4.1.1.48,R03508
K07126,,
K00796,2.5.1.15,R03066;R03067
K01897,6.2.1.3,R00390;R01280
K00942,2.7.4.8,R00332;R02090;R12852
K07277,,
K04763,,
K02337,2.7.7.7,
K07133,,
K01046,3.1.1.3,R02250;R02687
K02470,5.6.2.2,
K18138,,
K00036,1.1.1.363;1.1.1.49,R00835;R02736;R10907
K02342,2.7.7.7,
K02002,,
K00008,1.1.1.14,R00875;R01896
K07271,,R12821
K01198,3.2.1.37,R01433
K06073,,
K00763,6.3.4.21,R01724
K07497,,
K02470,5.6.2.2,
K07405,3.2.1.1,R02108;R02112;R11262
K00790,2.5.1.7,R00660
K01480,3.5.3.11,R01157
K03978,,
K15738,,
K01236,3.2.1.141,R09995;R11256
K16898,5.6.2.4,
K03086,,
K03529,,
K19231,,
K09987,,
K01448,3.5.1.28,R04112
K25182,,
K06147,,
K02416,,
K03639,4.1.99.22,R09394
K07126,,
K07126,,
K07126,,
K07126,,
K07126,,
K07126,,
K07126,,
K03654,5.6.2.4,
K11085,7.5.2.6,
K10716,,
K00166,1.2.4.4,R01210;R01651;R01701;R01702;R03171;R04225;R07599;R07600;R07601;R07602;R07603;R07604;R10996;R10997
K01610,4.1.1.49,R00341
K02945,,
K06217,,
K01270,,R00899;R04951
K05776,,
K03695,,
K05810,2.4.2.1;2.4.2.28;3.5.4.4,R01402;R01560;R01561;R01863;R02147
K06180,5.4.99.23,
K01619,4.1.2.4,R01066
K06921,,
K00789,2.5.1.6,R00177;R04771
K00120,,
K06894,,
K23779,,
K03043,2.7.7.6,
K01173,,
K22107,,
K01082,3.1.3.7,R00188;R00508
K06889,,
K01938,6.3.4.3,R00943
K01414,3.4.24.70,
K01883,6.1.1.16,R03650
K02051,,
K21449,,
K07089,,
K03046,2.7.7.6,
K12516,,
K23997,4.2.1.136;5.1.99.6,
K00760,2.4.2.8,R01132;R01229;R02142;R08237;R08238;R08245
K10742,5.6.2.3,
K00962,2.7.7.8,
K00185,,R09501
K00912,2.7.1.130,R04657
K07175,,
K07015,,
K08676,,
K19171,,
K18917,1.20.4.3,
K01666,4.1.3.39,R00750
K16898,5.6.2.4,
K12132,2.7.11.1,
K08303,,
K01354,3.4.21.83,
K01921,6.3.2.4,R01150
K21090,3.1.4.52,
K16693,,
K06281,1.12.99.6,R08034
K07720,,
K04084,1.8.4.16,
K00632,2.3.1.16,R00238;R00829;R00927;R01177;R03778;R03858;R03991;R04546;R04742;R04747;R05506;R05586;R07891;R07895;R07899;R08091;R08095;R13467;R13471;R13479;R13483
K01588,5.4.99.18,R07405
K04773,,
K01784,5.1.3.2,R00291;R02984
K02652,,
K16087,,
K01619,4.1.2.4,R01066
K07659,,
K01940,6.3.4.5,R01954
K21573,,
K00254,1.3.5.2,R01868
K07588,,
K03581,3.1.11.5,
K19005,2.7.8.20,R05081;R10849;R12813;R12900;R12901
K22769,,R12048
K07231,,
K15921,3.2.1.55,R01762
K02337,2.7.7.7,
K02337,2.7.7.7,
K02018,,
K04043,,
K03502,,
K07272,,
K03695,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K03701,,
K00998,2.7.8.8,R01800
K07507,,
K03087,,
K02322,2.7.7.7,
K12452,1.17.1.1,R03391;R03392
K03695,,
K06877,,
K03169,5.6.2.1,
K00426,7.1.1.7,R11325
K15727,,
K01207,3.2.1.52,R00022;R10831
K01007,2.7.9.2,R00199
K03701,,
K08307,4.2.2.29,
K00800,2.5.1.19,R03460
K00831,2.6.1.52,R04173;R05085
K02469,5.6.2.2,
K01704,4.2.1.33;4.2.1.35,R03896;R03898;R03968;R04001;R10170
K01952,6.3.5.3,R04463
K13821,1.2.1.88;1.5.5.2,R00245;R00707;R00708;R01253;R04444;R04445;R05051;R13148
K03553,,
K00858,2.7.1.23,R00104
K03531,,
K02188,2.1.1.195,R07773
K08744,2.7.8.41,R02030
K03234,,
K01874,6.1.1.10,R03659;R04773
K08217,,
K01997,,
K15125,,
K18918,,
K01791,5.1.3.14,R00420
K01448,3.5.1.28,R04112
K02519,,
K07462,,
K05372,,
K02047,,
K01364,3.4.22.10,
K07264,2.4.2.43,R09773;R09774;R09781;R12207
K03555,,
K03572,,
K00927,2.7.2.3,R01512
K01817,5.3.1.24,R03509
K02535,3.5.1.108,R04587
K01662,2.2.1.7,R05636
K06917,2.9.1.3,
K13735,,
K19231,,
K25289,,
K01728,4.2.2.2,R02361;R06240
K01784,5.1.3.2,R00291;R02984
K01956,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K07133,,
K18930,,R00297
K21573,,
K18831,,
K10726,5.6.2.3,
K06921,,
K01897,6.2.1.3,R00390;R01280
K03572,,
K00254,1.3.5.2,R01868
K09001,2.7.1.170,R09640;R12755
K03669,,
K11386,,
K10010,7.4.2.1,
K03466,,
K09458,2.3.1.179,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K10112,,
K02372,4.2.1.59,R04428;R04535;R04537;R04544;R04568;R04954;R04965;R07764;R10117;R10121;R10208
K18954,,
K07107,,
K05939,2.3.1.40;6.2.1.20,R01406;R04864
K01996,,
K01624,4.1.2.13,R01068;R01070;R01829;R02568
K03737,1.2.7.1,R01196;R10866
K02564,3.5.99.6,R00765
K03575,3.2.2.31,
K01889,6.1.1.20,R03660
K02316,2.7.7.101,
K19170,,
K21573,,
K02014,,
K11907,,
K01483,4.3.2.3,R00776
K27882,2.7.13.3,
K00243,,
K11206,3.5.1.128,R12024
K01089,3.1.3.15;4.2.1.19,R03013;R03457
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K03932,,
K08641,3.4.13.22,
K00558,2.1.1.37,R04858
K13004,,
K19423,,
K11031,,
K01887,6.1.1.19,R03646
K06973,,
K21572,,
K01297,3.4.17.13,
K01878,6.1.1.14,R03654
K24847,,
K03529,,
K07787,,
K02057,,
K16087,,
K00856,2.7.1.20,R00185
K02032,,
K07386,,
K21397,,
K02363,6.2.1.71;6.3.2.14,R07644
K18324,,
K19273,,
K01414,3.4.24.70,
K04487,2.8.1.7,R07460;R11528;R11529
K03699,,
K07263,,
K01533,7.2.2.9,
K24336,4.2.1.115;4.2.1.135,R09697;R10266
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K03655,5.6.2.4,
K01192,3.2.1.25,
K04763,,
K02470,5.6.2.2,
K01126,3.1.4.46,R01030;R01470
K02621,5.6.2.2,
K11072,7.6.2.11,
K18138,,
K20276,,
K03546,,
K06217,,
K19353,,
K00703,2.4.1.21,R02421
K03517,2.5.1.72,R04292
K03415,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K03657,5.6.2.4,
K13735,,
K03321,,
K02316,2.7.7.101,
K26937,,
K02012,,
K01923,6.3.2.6,R04591
K05367,2.4.99.28,
K23536,,
