KO,EC,Reaction,role,metabolite
K00850,2.7.1.11,R03239,product,C00104
K00850,2.7.1.11,R03239,product,C03785
K00850,2.7.1.11,R04779,substrate,C00002
K00850,2.7.1.11,R04779,substrate,C05345
K00850,2.7.1.11,R04779,product,C00008
K00850,2.7.1.11,R04779,product,C05378
K05349,3.2.1.21,R00026,substrate,C00185
K05349,3.2.1.21,R00026,substrate,C00001
K05349,3.2.1.21,R00026,product,C00221
K05349,3.2.1.21,R00306,substrate,C00185
K05349,3.2.1.21,R00306,substrate,C00001
K05349,3.2.1.21,R00306,product,C00031
K05349,3.2.1.21,R02558,substrate,C00844
K05349,3.2.1.21,R02558,substrate,C00001
K05349,3.2.1.21,R02558,product,C00561
K05349,3.2.1.21,R02558,product,C00031
K05349,3.2.1.21,R02887,substrate,C01898
K05349,3.2.1.21,R02887,substrate,(n-2) C00001
K05349,3.2.1.21,R02887,product,(n-2) C00031
K05349,3.2.1.21,R02887,product,C00185
K05349,3.2.1.21,R02985,substrate,C00844
K05349,3.2.1.21,R02985,substrate,C00031
K05349,3.2.1.21,R02985,product,C08325
K05349,3.2.1.21,R02985,product,C00001
K05349,3.2.1.21,R03527,substrate,C00963
K05349,3.2.1.21,R03527,substrate,C00001
K05349,3.2.1.21,R03527,product,C00031
K05349,3.2.1.21,R03527,product,C01335
K05349,3.2.1.21,R04949,substrate,C05713
K05349,3.2.1.21,R04949,substrate,C00001
K05349,3.2.1.21,R04949,product,C05712
K05349,3.2.1.21,R04949,product,C00031
K05349,3.2.1.21,R04998,substrate,C05839
K05349,3.2.1.21,R04998,substrate,C00001
K05349,3.2.1.21,R04998,product,C05838
K05349,3.2.1.21,R04998,product,C00031
K05349,3.2.1.21,R10035,substrate,C05143
K05349,3.2.1.21,R10035,substrate,C00001
K05349,3.2.1.21,R10035,product,C03742
K05349,3.2.1.21,R10035,product,C00221
K05349,3.2.1.21,R10039,substrate,C08334
K05349,3.2.1.21,R10039,substrate,C00001
K05349,3.2.1.21,R10039,product,C18796
K05349,3.2.1.21,R10039,product,C00221
K05349,3.2.1.21,R10040,substrate,C01594
K05349,3.2.1.21,R10040,substrate,C00001
