node,deg_in,deg_out,deg_total,pagerank,betweenness,closeness,eigenvector,hub,authority
K01916,44,27,71,0.001973961921122757,0.0,0.8949899629868197,0.026305697305870956,0.0003336971997432262,0.003529047647694566
K01950,9,61,70,0.0014215964427786386,0.0,0.8070781589698169,0.01833617909305149,0.0013385585468495577,0.00013753723051862195
K00656,35,34,69,0.0019836561263374373,0.0008445377208143476,1.1938995799208076,0.031466156113000104,0.002852458081558375,0.0023184491787423328
K01426,44,23,67,0.0019470193782227408,0.0,0.8909504712020029,0.04906527966999556,0.003169610847208748,0.003443829668277193
K01425,9,58,67,0.0014215964427786386,0.0,0.8070781589698169,0.026671461546250833,0.0023097899226890276,0.00013753723051862195
K23265,9,58,67,0.0021155689350592193,0.0042610086635473275,1.06519440796663,0.041632747129258886,0.0033146512697953593,0.0002750744610372439
K02510,39,28,67,0.0021163131827777377,0.0,1.1467565909957123,0.041199955522162844,0.002589096884083211,0.0034533259805274974
K00826,20,47,67,0.0035696607832416665,0.041656378831750884,1.3045575191982528,0.11694453255474108,0.0068351753461038355,0.0031302456238832647
K01006,38,28,66,0.002128532557271508,0.0,1.1492388090267183,0.0309912634484127,0.0003345464419887376,0.003429070843173423
K00812,25,41,66,0.005846160072120486,0.11040062149525923,1.4950281464213684,0.13910332114255777,0.0060624348161334675,0.005749514244609545
K00813,25,41,66,0.005846160072120486,0.11040062149525923,1.4950281464213684,0.13727090031554506,0.0060624348161334675,0.005749514244609545
K01630,37,28,65,0.002083125282899099,0.0,1.1467565909957123,0.03795394969279369,0.002589324505292122,0.003411049868510707
K00603,56,8,64,0.004572387653716604,0.013895310991896928,1.4144890334862121,0.06409210915295949,0.0001382259550007014,0.004065170542545154
K24998,58,5,63,0.005079873749899907,0.0010269129761397051,1.4203374354300868,0.061543571522168224,0.00041897310527696694,0.004074273545269891
K07250,24,39,63,0.0037266109623031057,0.005095818489457246,1.30752187390135,0.08681520292920358,0.004043219183863637,0.0035840492846070655
K00823,24,38,62,0.002276132560773556,0.0,1.0367438707571384,0.044825491511319385,0.0020309512162524465,0.001982205205630843
K22086,14,48,62,0.002774829811770041,0.0,0.6332098258063272,0.016118701777487136,0.0010405886071539123,1.773625276823774e-05
K22084,14,48,62,0.002774829811770041,0.0,0.6332098258063272,0.016118701777487136,0.0010405886071539123,1.773625276823774e-05
K01895,10,52,62,0.0017081685238046623,0.013201921921604716,0.7616659418040262,0.059617090337456914,0.006149632158311138,0.00040134810021943957
K25571,24,37,61,0.0015141371899030846,0.0,0.8103720437104076,0.023263069778914024,0.0010074966211639305,0.0010780813310765395
K15372,24,37,61,0.0015141371899030846,0.0,0.8103720437104076,0.023263069778914024,0.0010074966211639305,0.0010780813310765395
K00158,40,21,61,0.002193047565733276,0.00440693437483633,1.1470983282162783,0.03715753162623081,0.0035896840524155048,0.0034309753766159218
K20934,52,8,60,0.003958705365709767,0.0,0.9139557982161014,0.023214631445507828,4.689928744975666e-05,0.0035317242013627732
K09011,60,0,60,0.0029867671624936028,0.0,1.2332188055798516,0.04184251150046167,-0.0,0.005092857099812559
K19244,7,53,60,0.0017878255982596149,0.0,0.5747175526050279,0.02548346978780882,0.003260154419856745,6.176956298691034e-05
K00259,7,53,60,0.0017878255982596149,0.0,0.5747175526050279,0.02548346978780882,0.003260154419856745,6.176956298691034e-05
K01754,1,59,60,0.0007612119859544153,0.0,0.4146824366363546,0.04018857338247668,0.005386694521345129,1.4881722975486175e-06
K01760,3,56,59,0.0007940820739778744,0.00030526400866011643,0.48468747230257203,0.10266692494556669,0.013056925372011986,0.00021872611321775804
K01601,59,0,59,0.004150434472013528,0.0,1.3071469181930127,0.06955916810092092,-0.0,0.015977219284682532
K09022,0,59,59,0.0007276239504980581,0.0,0.0,0.04015669254144195,0.005386694521345129,-0.0
K11754,59,0,59,0.007142808140316877,0.0,1.5931448685241072,0.09019229501149542,-0.0,0.0061058886261495205
K14155,3,56,59,0.0007940820739778744,0.00030526400866011643,0.48468747230257203,0.10266692494556669,0.013056925372011986,0.00021872611321775804
K01919,59,0,59,0.004594649339307585,0.0,1.4185535330611094,0.06030151594527361,-0.0,0.0041983986575617705
K13566,0,58,58,0.0007276239504980581,0.0,0.0,0.040192936839726176,0.0026984560979016236,-0.0
K01739,9,49,58,0.0009982593210975611,0.00991111310632758,0.5298916486209108,0.0287485254498274,0.002456937718841973,0.0009337862565162955
K00760,40,18,58,0.06054798833213217,0.07487536132123238,1.5975378518657781,0.028582461498347863,0.0007252352301744375,0.001959010092746939
K01662,38,19,57,0.002128532557271508,0.0,1.1470983282162783,0.03687024298840298,0.003579942759037649,0.003429070843173423
K09251,21,36,57,0.0021603126843445252,0.0010055891001324324,1.0330888292799802,0.04220410347523884,0.002011058185569548,0.0015947685470702252
K01026,29,28,57,0.0020878395699388754,0.002873111714664093,1.1932662148596107,0.031607854567154633,0.0026794844420483925,0.001833044040264742
K01935,57,0,57,0.007444214976605459,0.0,1.574500016943065,0.13904349734243415,-0.0,0.03195062950248005
K00819,21,36,57,0.002976903854685367,0.005603116302420603,0.8110592603550485,0.02174931814285088,0.0010050277279821957,0.0007828678413831016
K00817,21,35,56,0.002940300836969378,0.0,1.1882948485755453,0.06333976614175335,0.0030145840413189945,0.0023982224433286826
K01571,10,46,56,0.0016038166216040522,0.0,0.5816882236134148,0.03933704216848318,0.006188859985897731,0.00027774111924184044
K00931,56,0,56,0.002650005802107331,0.0,1.190087956973077,0.029706354907494667,-0.0,0.002032585271272577
K23169,56,0,56,0.002650005802107331,0.0,1.190087956973077,0.029706354907494667,-0.0,0.002032585271272577
K01776,56,0,56,0.002650005802107331,0.0,1.190087956973077,0.029706354907494667,-0.0,0.002032585271272577
K20509,10,46,56,0.0016126595467370803,0.0,0.5816882236134148,0.0738149380328814,0.013349013810867623,0.00022790845037503314
K13010,20,35,55,0.0014381331586839601,0.0,0.8085039339959462,0.02103846871694412,0.0010048613471063312,0.0007825614059708162
K00632,30,25,55,0.008253151369384173,0.18694718016496628,1.459795774688081,0.15336036442762244,0.007555166013963023,0.01719553785933494
K18930,13,42,55,0.002697152616920963,0.0,0.6320401507542469,0.019555801374878827,0.002643417392112977,1.3193954500104646e-05
K00840,20,35,55,0.0014381331586839601,0.0,0.8085039339959462,0.02103846871694412,0.0010048613471063312,0.0007825614059708162
K28205,20,35,55,0.0014381331586839601,0.0,0.8085039339959462,0.02103846871694412,0.0010048613471063312,0.0007825614059708162
K02805,20,35,55,0.0014381331586839601,0.0,0.8085039339959462,0.02103846871694412,0.0010048613471063312,0.0007825614059708162
K00394,39,16,55,0.007155020281364901,0.041773189761398724,1.5301912081966178,0.019829278469084926,5.477143829882075e-05,0.0014627236950028868
K10206,20,35,55,0.0014381331586839601,0.0,0.8085039339959462,0.02103846871694412,0.0010048613471063312,0.0007825614059708162
K00831,20,35,55,0.0021486423668698623,0.0,1.0330888292799802,0.04207693743388824,0.0020097226942126624,0.0015651228119416324
K20680,20,35,55,0.0014381331586839601,0.0,0.8085039339959462,0.02103846871694412,0.0010048613471063312,0.0007825614059708162
K03385,47,8,55,0.002971030059326325,0.00010876497127548466,0.9065833135054305,0.023114339018278383,2.1066815940354955e-05,0.0035300268654817964
K00841,20,35,55,0.0014381331586839601,0.0,0.8085039339959462,0.02103846871694412,0.0010048613471063312,0.0007825614059708162
K04016,47,8,55,0.002971030059326325,0.00010876497127548466,0.9065833135054305,0.023114339018278383,2.1066815940354955e-05,0.0035300268654817964
K00821,20,35,55,0.0021486423668698623,0.0,1.0330888292799802,0.04207693743388824,0.0020097226942126624,0.0015651228119416324
K24954,13,42,55,0.002697152616920963,0.0,0.6320401507542469,0.019555801374878827,0.002643417392112977,1.3193954500104646e-05
K15895,20,35,55,0.0014381331586839601,0.0,0.8085039339959462,0.02103846871694412,0.0010048613471063312,0.0007825614059708162
K00164,27,28,55,0.003170030146622952,0.0004377006127808579,1.2138712130052762,0.06769815392889282,0.014016891340435125,0.005917629378283264
K01003,9,45,54,0.0015916852199022234,0.0,0.5812803912778367,0.03894328483802188,0.006187632891103046,0.00018483571508480065
K01668,1,53,54,0.0008087732124116718,0.0,0.5323412452685776,0.025633662262993868,0.003260154419856745,5.05382254162331e-05
K01752,1,53,54,0.0007948000214107724,0.0,0.5344569064541995,0.025473063954142377,0.003260154419856745,2.976344595097235e-06
K19709,28,25,53,0.0024035490543412694,0.002311957082893762,1.2279505685784067,0.04713583781539088,0.004391339925812121,0.002046154312558719
K01034,28,25,53,0.002430323168973562,0.002311957082893762,1.2279505685784067,0.04736791103467608,0.004390453173688528,0.0020790936263313585
K01667,0,53,53,0.0007276239504980581,0.0,0.0,0.025409302272072862,0.003260154419856745,-0.0
K21147,13,40,53,0.003266575648602936,2.581311306143521e-05,0.7525868349436159,0.005262946449549901,0.0003884255822516403,0.0002847851110282143
K00605,8,45,53,0.0019279295813324484,0.003426784284677487,1.0306388736149508,0.033637944528722215,0.004916303794141834,0.0002909851388730853
K02588,14,38,52,0.0029217609970616384,0.0,1.1505289831157317,0.020618939852701888,0.002140977454499065,0.00268682148625998
K02591,14,38,52,0.0029217609970616384,0.0,1.1505289831157317,0.020618939852701888,0.002140977454499065,0.00268682148625998
K02586,14,38,52,0.0029217609970616384,0.0,1.1505289831157317,0.020618939852701888,0.002140977454499065,0.00268682148625998
K26110,44,8,52,0.001973961921122757,0.0,0.8970010796046058,0.0233488047187498,4.652028931407407e-05,0.003529047647694566
K00281,6,45,51,0.0015641031390116926,1.4964123513875483e-05,0.9404786772417078,0.04477029383319079,0.00781710148318734,0.00045626573862281414
K00283,6,45,51,0.0015641031390116926,1.4964123513875483e-05,0.9404786772417078,0.04483405551526028,0.00781710148318734,0.00045626573862281414
K11533,26,25,51,0.00451695244296294,0.13352245344727193,1.363294235366469,0.16790702110710318,0.026347143992842836,0.0050115744869364
K00282,6,45,51,0.0015641031390116926,1.4964123513875483e-05,0.9404786772417078,0.04483405551526028,0.00781710148318734,0.00045626573862281414
K00835,38,12,50,0.002128532557271508,0.0006596100683775479,1.146404387682415,0.03610708041243551,0.000507546774617265,0.003429070843173423
K10027,26,24,50,0.010373519133703248,0.04124559444084241,0.9562842915793927,0.004017329299707876,0.00017488310256616013,0.0005983555024175398
K02437,5,44,49,0.0013852715773206175,0.0,0.8138724516081097,0.025395198071925668,0.004235592014584275,0.0001243584158512614
K26139,44,5,49,0.003220299891747456,0.005965859155458172,1.1705442309065683,0.04597085926972593,4.045275378229738e-06,0.007058095295389132
K00362,44,5,49,0.001973961921122757,0.0,0.8955104971592649,0.022985429634862966,2.022637689114869e-06,0.003529047647694566
K00361,44,5,49,0.003220299891747456,0.005965859155458172,1.1705442309065683,0.04597085926972593,4.045275378229738e-06,0.007058095295389132
K26138,44,5,49,0.003220299891747456,0.005965859155458172,1.1705442309065683,0.04597085926972593,4.045275378229738e-06,0.007058095295389132
K00370,27,21,48,0.010027458853307787,0.0060639527971260345,0.9746185816494981,0.004787742392421012,5.763443683555659e-05,4.958779347188318e-05
K13821,6,42,48,0.002398495646584145,0.005847231263046844,0.5926381851649003,0.06662898981784303,0.004144696320416943,1.545096913234835e-05
K03334,10,38,48,0.0020224689070134465,0.021457277767461598,0.8122542212295498,0.049376789454596046,0.004477309819303063,0.000129460375558322
K00371,27,21,48,0.010027458853307787,0.0060639527971260345,0.9746185816494981,0.004787742392421009,5.763443683555659e-05,4.958779347188351e-05
K18292,0,48,48,0.0007276239504980581,0.0,0.0,0.038623738961444734,0.004787634514119507,-0.0
K00374,27,21,48,0.010027458853307787,0.0060639527971260345,0.9746185816494981,0.004787742392421012,5.7634436835556596e-05,4.958779347188318e-05
K00031,0,47,47,0.0007276239504980581,0.0,0.0,0.08678420982140406,0.009881315787406173,-0.0
K01007,38,9,47,0.002128532557271508,0.0,1.1505269361740766,0.028941688862220982,6.115851371202766e-05,0.003429070843173423
K01428,0,47,47,0.0007276239504980581,0.0,0.0,0.03185367653755239,0.0050493263482146505,-0.0
K01430,0,47,47,0.0007276239504980581,0.0,0.0,0.03185367653755239,0.0050493263482146505,-0.0
K00658,25,22,47,0.0016638227846319225,0.0,0.8507199633290856,0.03750152462527629,0.007971655183876587,0.001494275503352509
K13038,5,42,47,0.0010894564864046955,0.0,0.6223780167820702,0.021758237173775063,0.0038685478549712916,0.000150746672681435
K01431,0,47,47,0.0007276239504980581,0.0,0.0,0.07133602646258547,0.012738799844016845,-0.0
